"","edgeuid","x"
"1093",153312203,5
"1094",153312204,5
"1095",153312207,130
"1096",153312208,125
"1097",153312210,125
"1098",153312222,5
"1099",153312223,15
"1100",153312224,115
"1101",153312226,140
"1102",153312228,140
"1103",153312230,25
"1104",153312231,25
"1105",153312232,30
"1106",153312233,35
"1107",153312234,30
"1108",153312235,25
"1109",153312236,25
"1110",153312237,55
"1111",153312238,5
"1112",153312241,10
"1113",153312242,35
"1114",153312243,15
"1115",153312244,55
"1116",153312253,5
"1117",153312255,5
"1118",153312256,5
"1119",153312264,60
"1120",153312265,555
"1121",153312266,620
"1122",153312267,2440
"1123",153312268,1870
"1124",153312269,55
"1125",153312270,2370
"1126",153312271,1115
"1127",153312272,785
"1128",153312274,775
"1129",153312276,2335
"1130",153312278,2280
"1131",153312279,25
"1132",153312280,820
"1133",153312281,2420
"1134",153312282,5
"1135",153312283,5
"1136",153312284,3090
"1137",153312286,5
"1138",153312290,3105
"1139",153312292,3110
"1140",153312293,3130
"1141",153312298,55
"1142",153312299,5
"1143",153312300,5
"1144",153312307,3100
"1145",153312308,3100
"1146",153312309,3210
"1147",153312310,3175
"1148",153312313,3195
"1149",153312315,10
"1150",153312316,3190
"1151",153312349,10
"1152",153312350,10
"1153",153312353,125
"1154",153312354,10
"1155",153312355,90
"1156",153312356,140
"1157",153312357,35
"1158",153312358,75
"1159",153312359,80
"1160",153312360,40
"1161",153312361,100
"1162",153312362,65
"1163",153312363,20
"1164",153312365,65
"1165",153312383,55
"1166",153312384,55
"1167",153312385,55
"1168",153312386,55
"1169",153312388,55
"1170",153312390,45
"1171",153312411,5
"1172",153312413,10
"1173",153312427,5
"1174",153312431,10
"1175",153312440,95
"1176",153312441,30
"1177",153312442,30
"1178",153312443,45
"1179",153312444,95
"1180",153312445,85
"1181",153312447,105
"1182",153312448,110
"1183",153312451,25
"1184",153312452,130
"1185",153312455,5
"1186",153312457,85
"1187",153312458,100
"1188",153312459,40
"1189",153312460,40
"1190",153312461,40
"1191",153312463,75
"1192",153312464,35
"1193",153312465,30
"1194",153312468,125
"1195",153312470,35
"1196",153312471,30
"1197",153312472,10
"1198",153312473,20
"1199",153312474,100
"1200",153312475,140
"1201",153312477,50
"1202",153312478,55
"1203",153312479,55
"1204",153312480,105
"1205",153312481,105
"1206",153312482,15
"1207",153312483,5
"1208",153312484,115
"1209",153312485,5
"1210",153312486,5
"1211",153312487,130
"1212",153312488,105
"1213",153312489,120
"1214",153312491,240
"1215",153312492,5
"1216",153312493,240
"1217",153312495,70
"1218",153312496,140
"1219",153312497,55
"1220",153312498,25
"1221",153312503,95
"1222",153312515,10
"1223",153312516,15
"1224",153312517,15
"1225",153312518,15
"1226",153312519,15
"1227",153312520,15
"1228",153312521,15
"1229",153312522,5
"1230",153312523,55
"1231",153312524,10
"1232",153312525,15
"1233",153312526,90
"1234",153312527,105
"1235",153312528,10
"1236",153312529,220
"1237",153312533,260
"1238",153312534,240
"1239",153312535,15
"1240",153312537,20
"1241",153312538,25
"1242",153312539,30
"1243",153312540,205
"1244",153312541,5
"1245",153312543,15
"1246",153312544,255
"1247",153312545,95
"1248",153312549,15
"1249",153312550,25
"1250",153312551,10
"1251",153312552,65
"1252",153312553,175
"1253",153312554,5
"1254",153312555,5
"1255",153312556,10
"1256",153312558,10
"1257",153312559,10
"1258",153312563,5
"1259",153312565,65
"1260",153312566,75
"1261",153312567,75
"1262",153312568,10
"1263",153312569,10
"1264",153312570,65
"1265",153312571,65
"1266",153312572,100
"1267",153312573,115
"1268",153312574,45
"1269",153312575,115
"1270",153312576,185
"1271",153312577,100
"1272",153312578,60
"1273",153312579,10
"1274",153312580,50
"1275",153312581,100
"1276",153312582,90
"1277",153312583,65
"1278",153312584,90
"1279",153312585,70
"1280",153312586,60
"1281",153312587,175
"1282",153319426,40
"1283",153319427,35
"1284",153319428,40
"1285",153319429,35
"1286",153319430,35
"1287",153319432,35
"1288",153319434,20
"1289",153319441,10
"1290",153319449,5
"1291",153319450,5
"1292",153319452,5
"1293",153319454,5
"1294",153319457,5
"1295",153319458,5
"1296",153319461,5
"1297",153319554,5
"1298",153319555,5
"1299",153319557,10
"1300",153319558,10
"1301",153319559,10
"1302",153319560,10
"1303",153319564,95
"1304",153319565,95
"1305",153319566,95
"1306",153319567,90
"1307",153319589,45
"1308",153319601,55
"1309",153319602,55
"1310",153319942,90
"1311",153319943,85
"1312",153319944,65
"1313",153319945,10
"1314",153319946,15
"1315",153319947,10
"1316",153319948,70
"1317",153319949,20
"1318",153319953,90
"1319",153319954,100
"1320",153319955,110
"1321",153319956,10
"1322",153319957,5
"1323",153319958,95
"1324",153319959,15
"1325",153319960,10
"1326",153319961,95
"1327",153319965,95
"1328",153319966,90
"1329",153320001,90
"1330",153320002,85
"1331",153320003,100
"1332",153320004,205
"1333",153320005,205
"1334",153320008,195
"1335",153320076,5
"1336",153320080,5
"1337",153320084,5
"1338",153320085,5
"1339",153320086,5
"1340",153320093,65
"1341",153320094,65
"1342",153320096,65
"1343",153320099,5
"1344",153320101,5
"1345",153320102,5
"1346",153320103,5
"1347",153320110,5
"1348",153320111,5
"1349",153320112,5
"1350",153320115,65
"1351",153320116,50
"1352",153320119,65
"1353",153320121,30
"1354",153320123,60
"1355",153320124,60
"1356",153320125,5
"1357",153320126,145
"1358",153320127,60
"1359",153320130,5
"1360",153320132,15
"1361",153320133,15
"1362",153320135,175
"1363",153320136,165
"1364",153320137,160
"1365",153320138,10
"1366",153320139,10
"1367",153320140,180
"1368",153320142,65
"1369",153320143,10
"1370",153320144,10
"1371",153320147,165
"1372",153320148,155
"1373",153320149,65
"1374",153320150,65
"1375",153320151,65
"1376",153320154,5
"1377",153320155,160
"1378",153320156,170
"1379",153320172,10
"1380",153320182,70
"1381",153320184,10
"1382",153320185,70
"1383",153320186,40
"1384",153320187,55
"1385",153320188,70
"1386",153320190,165
"1387",153320191,165
"1388",153320192,165
"1389",153320193,150
"1390",153320195,20
"1391",153320196,10
"1392",153320197,135
"1393",153320198,20
"1394",153320200,70
"1395",153320202,10
"1396",153320206,10
"1397",153320210,10
"1398",153320211,5
"1399",153320212,10
"1400",153320467,5
"1401",153320468,15
"1402",153327577,5
"1403",153327598,10
"1404",153327599,10
"1405",153327600,10
"1406",153327601,10
"1407",153327602,15
"1408",153327603,90
"1409",153327768,40
"1410",153327779,65
"1411",153327780,80
"1412",153327783,90
"1413",153327784,80
"1414",153327785,60
"1415",153327793,10
"1416",153327794,105
"1417",153327795,10
"1418",153327801,115
"1419",153327805,110
"1420",153327808,130
"1421",153327809,20
"1422",153327810,20
"1423",153327811,130
"1424",153327812,10
"1425",153327813,150
"1426",153327814,155
"1427",153327816,155
"1428",153327818,150
"1429",153327819,10
"1430",153327822,20
"1431",153327823,20
"1432",153327824,10
"1433",153327825,10
"1434",153327837,105
"1435",153327838,100
"1436",153327840,115
"1437",153327842,110
"1438",153327846,130
"1439",153327850,130
"1440",153327867,160
"1441",153327868,160
"1442",153327869,145
"1443",153327871,145
"1444",153327872,135
"1445",153327876,145
"1446",153327879,145
"1447",153327881,145
"1448",153327883,145
"1449",153327888,145
"1450",153327890,140
